# /home/semlav/semLAV/results/data510viewsSemLAV.dat
# Query	"Answer Size"	"Wrapper Time (secs)"	"Graph Creation Time (secs)"	"Execution Time (secs)"	"Total Execution Time (secs)"	"Time First Answer"	"Answer Percentage"	"Views or Rewritings considered"	"Maximal Memory Used (triples)"	"Throughput (# answers/millisec)"	"Graph Union Size (in MB)"	"How many times was Q executed"
1	0	266846	20495	572744	606483	17913	0	77	909529	0.0	231	11
2	598635	3342742	225930	350657	602942	326778	100	348	5850915	0.9928566926835417	1335	37
3	151406	4424641	308725	211268	681011	561350	36	454	6330140	0.22232533688883147	1741	76
4	287	3816588	240848	37384	367748	149943	100	374	5850915	7.804257263125836E-4	1335	79
5	564220	3278571	236040	255606	500800	146930	100	374	5850916	1.1266373801916933	1335	33
6	197112	3048230	162635	108659	298114	114630	100	136	3619079	0.661196723401115	1110	53
7	227842	5562766	392536	284463	690834	143874	100	306	5408718	0.32980716062035165	1242	29
8	564220	2900220	179439	146096	334058	28496	100	136	4555604	1.6889881397841093	1015	18
9	28211	17174	984	622	2467	1597	100	34	169839	11.435346574787191	62	4
10	2993175	2999062	209457	357473	580441	13253	100	408	5850915	5.156725662039725	1335	31
11	2993175	425521	37658	83712	131625	24532	100	136	843892	22.74017094017094	189	17
12	598635	3223031	219201	111657	338648	13904	100	408	5850915	1.7677204649075147	1335	30
13	598635	3104041	239821	124797	369327	42261	100	408	5850915	1.6208806829720004	1335	34
14	564220	3152983	196532	63716	346905	119807	100	272	5408718	1.626439515141033	1242	67
15	282110	3129272	227825	192129	428337	13954	100	442	6330137	0.6586169301274464	1741	31
16	282110	2479578	184911	124612	314567	12231	100	136	3619079	0.8968200733071174	1110	14
17	197112	2904972	171178	67011	240737	4257	100	136	3619079	0.8187856457461877	1110	23
18	564220	3493173	240759	248164	600002	275303	100	374	5850916	0.9403635321215595	1335	73
